"","id","title","nop","price","rating","publisher","year"
"148",17653,"من پيش از تو",496,6250,4.1889400921659,"انتشارات جامي","winter95"
"149",17605,"مادربزرگ سلام مي‌رساند و مي‌گويد متاسف است",488,11000,3.9047619047619,"کتاب کوله پشتي","winter95"
"150",16934,"آخرين نامه‌ي معشوق",480,7500,3.0983606557377,"انتشارات ميلکان","winter95"
"151",16695,"کودکستان آقا مرسل",244,3500,4.83076923076923,"انتشارات کتابستان معرفت","winter95"
"152",16412,"چکيده تاريخ ايران",173,6000,4.17142857142857,"انتشارات اختران","winter95"
"153",15932,"اعتراف",104,4500,4.44117647058824,"نشر روزگار نو","winter95"
"154",15842,"آب‌نبات پسته‌اي",257,9000,4.54030501089325,"انتشارات چرخ‌و‌فلک","winter95"
"155",15615,"مرگ در ونيز",159,6000,3.875,"انتشارات نگاه","winter95"
"156",12618,"مردي به نام اوه",392,5000,4.3616298811545,"نشر نون","fall95"
"157",5331,"دنياي سوفي: رمان تاريخ حکمت غرب",607,4900,4.34806629834254,"انتشارات جامي","fall95"
"158",15112,"جايي که عاشق بوديم",352,3500,4.03157894736842,"انتشارات ميلکان","fall95"
"159",14566,"چنين گفت زرتشت: کتابي براي همه کس و هيچ کس",384,9800,3.38461538461538,"انتشارات جامي","fall95"
"160",12948,"ذهن‌تان را مديريت کنيد؛ سرنوشت خود را بسازيد!",434,13000,4.72222222222222,"نشر نوين","fall95"
"161",13998,"دختري که رهايش کردي",472,7500,4.05844155844156,"انتشارات ميلکان","fall95"
"162",13630,"من او را دوست داشتم",160,3500,3.73214285714286,"انتشارات يوبان","fall95"
"163",13102,"هيچ‌وقت پاي زن‌ها به ابرها نمي‌رسد",94,1200,2.52380952380952,"نشر ثالث","fall95"
"164",12267,"مهارت هاي فکر کردن؛ استفاده از مغز در عصر اطلاعات",90,4500,3.25,"نشر نوين","fall95"
"165",11285,"کافگاف: ديده ها +شنيده هاي درهم درباره ي ساکنان سرزمين ايران",232,6500,4.23287671232877,"نشر ايده سبز","fall95"
"166",8515,"من احمق",49,1500,4.0233918128655,"انتشارات هرست","fall95"
"167",6937,"راه نفوذ بر دل‌ها؛ چگونه ديگران را متقاعد کنيد",155,7000,4.6,"انتشارات ذهن آويز","fall95"
"168",5044,"لهوف",224,1000,4.40677966101695,"انتشارات دليل ما","fall95"
"169",4976,"ماجراهاي تن تن و ميلو ـ سيگارهاي فرعون",69,3500,4.37931034482759,"ناشر مؤلف","fall95"
"170",12205,"ديدم که جانم مي‌رود",303,13100,4.26250962278676,"نشر شهيد کاظمي","summer95"
"171",12405,"شازده کوچولو",109,3750,4.59626168224299,"انتشارات نگاه","summer95"
"172",12206,"فتح خون",151,4000,4.1403785488959,"انتشارات واحه","summer95"
"173",12209,"ابن مشغله (داستان يک زندگي، جلد اول)",112,8000,3.80790960451977,"انتشارات روزبهان","summer95"
"174",12208,"باشگاه مغز",284,17500,3.86509900990099,"انتشارات مهرسا","summer95"
"175",12203,"گردان قاطرچي‌ها",272,4000,4.16657880864523,"انتشارات کتابستان معرفت","summer95"
"176",12210,"مطلع مهر",266,4000,3.55903614457831,"انتشارات حديث راه عشق","summer95"
"177",12207,"من ديگر ما: جلد چهارم (نقش بازي در تربيت)",202,4000,3.92833876221498,"انتشارات آيين فطرت","summer95"
"178",12202,"مي‌شکنم در شکن زلف يار",286,4000,3.66913580246914,"نشر معارف","summer95"
"179",12069,"ماه عسل در پاريس",96,5500,4.08888888888889,"انتشارات جامي","summer95"
"180",11786,"روياي نيمه‌شب",279,9000,4.39540507859734,"انتشارات کتابستان معرفت","summer95"
"181",10673,"زني از کوچه پشتي",110,3900,3.77142857142857,"ناشر مؤلف","summer95"
"182",10499,"غرب چگونه غرب شد؟",304,17500,3.02597402597403,"انتشارات روزنه","summer95"
"183",10457,"پول و شيطان",269,13250,4.1,"انتشارات روزنه","summer95"
"184",5886,"آبنبات هل‌دار",412,8500,4.39327296248383,"انتشارات سوره مهر","summer95"
"185",9110,"شازده سليم و عاشقانه به روايت طلا صادقي",100,2000,3.5,"ناشر مؤلف","spring95"
"186",9111,"اول تو بگو",150,4000,3.5625,"ناشر مؤلف","spring95"
"187",8993,"پادشاهي پير در تبعيد",159,5400,3.875,"گروه انتشاراتي ققنوس","spring95"
"188",8598,"گاردن‌پارتي در برف",100,3000,4.05,"ناشر مؤلف","spring95"
"189",8344,"هر کسي به فکر خودش",201,5000,2.77777777777778,"نشر شورآفرين","spring95"
"190",8470,"معلم پيانو",100,4000,3.63793103448276,"کتاب کوله پشتي","spring95"
"191",8420,"مزرعه‌ حيوانات",153,700,4.59487179487179,"نشر شورآفرين","spring95"
"192",8408,"همه چيز درباره نويسندگي خلاق: هر آنچه بايد دربار<U+06C0> نگارش رمان، داستان کوتاه، فيلمنامه، سفرنامه، نمايشنامه، شعر و مقاله و... بدانيد",560,15000,4.20833333333333,"انتشارات سوره مهر","spring95"
"193",8346,"عشق در زمان ما: سه قصه روان‌شناختي",80,4000,4.85714285714286,"ناشر مؤلف","spring95"
"194",8213,"بي‌شعوري بس است ديگر! (جلد اول)",239,8000,2.99212598425197,"انتشارات شبگون","spring95"
"195",7378,"پدر پولدار، پدر بي‌پول",248,10000,4.1046511627907,"انتشارات طاهريان","spring95"
"196",4070,"قدرت عادت: چرايي کارهايي که انجام مي دهيم، در زندگي و کسب و کار",327,8900,4.3828125,"نشر نوين","spring95"
